,# Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,DWS,DBPM,DRtg,Year
0,1st,C,Ben Wallace,28.0,DET,55.0,58.0,0.948,73.0,39.4,6.9,15.4,1.6,1.4,3.2,0.481,0.167,0.45,10.6,0.176,7.9,3.5,90.0,2003
1,1st,F,Kevin Garnett,26.0,MIN,47.0,58.0,0.81,82.0,40.5,23.0,13.4,6.0,1.4,1.6,0.502,0.282,0.751,15.6,0.225,5.8,2.4,98.0,2003
2,1st,F,Tim Duncan,26.0,SAS,44.0,58.0,0.759,81.0,39.3,23.3,12.9,3.9,0.7,2.9,0.513,0.273,0.71,16.5,0.248,6.9,2.5,94.0,2003
3,1st,G,Doug Christie,32.0,SAC,38.0,58.0,0.655,80.0,33.9,9.4,4.3,4.7,2.3,0.5,0.479,0.395,0.81,8.9,0.157,4.7,3.2,98.0,2003
4,1st,G,Kobe Bryant,24.0,LAL,35.0,58.0,0.603,82.0,41.5,30.0,6.9,5.9,2.2,0.8,0.451,0.383,0.843,14.9,0.21,4.0,0.7,103.0,2003
6,2nd,G,Jason Kidd,29.0,NJN,31.0,58.0,0.534,80.0,37.4,18.7,6.3,8.9,2.2,0.3,0.414,0.341,0.841,11.3,0.182,5.8,1.8,96.0,2003
7,2nd,F,Metta World Peace,23.0,IND,27.0,58.0,0.466,69.0,33.6,15.5,5.2,2.9,2.3,0.7,0.428,0.336,0.736,7.2,0.15,4.1,2.3,98.0,2003
8,2nd,F,Bruce Bowen,31.0,SAS,24.0,58.0,0.414,82.0,31.3,7.1,2.9,1.4,0.8,0.5,0.466,0.441,0.404,5.1,0.096,2.7,1.0,103.0,2003
9,2nd,G,Eric Snow,29.0,PHI,16.0,58.0,0.276,82.0,37.9,12.9,3.7,6.6,1.6,0.1,0.452,0.219,0.858,8.4,0.13,2.7,0.3,105.0,2003
10,2nd,C,Shaquille O'Neal,30.0,LAL,12.0,58.0,0.207,67.0,37.8,27.5,11.1,3.1,0.6,2.4,0.574,,0.622,13.2,0.25,3.0,0.1,102.0,2003
