,# Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,1st Tm,2nd Tm,3rd Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,Year
0,1st,F,Tim Duncan,26.0,SAS,603.0,610.0,0.989,120.0,,,81.0,39.3,23.3,12.9,3.9,0.7,2.9,0.513,0.273,0.71,16.5,0.248,2003
1,1st,G,Kobe Bryant,24.0,LAL,599.0,610.0,0.982,118.0,,,82.0,41.5,30.0,6.9,5.9,2.2,0.8,0.451,0.383,0.843,14.9,0.21,2003
2,1st,F,Kevin Garnett,26.0,MIN,596.0,610.0,0.977,115.0,,,82.0,40.5,23.0,13.4,6.0,1.4,1.6,0.502,0.282,0.751,15.6,0.225,2003
3,1st,C,Shaquille O'Neal,30.0,LAL,593.0,610.0,0.972,112.0,,,67.0,37.8,27.5,11.1,3.1,0.6,2.4,0.574,,0.622,13.2,0.25,2003
4,1st,G,Tracy McGrady,23.0,ORL,578.0,610.0,0.948,107.0,,,75.0,39.4,32.1,6.5,5.5,1.7,0.8,0.457,0.386,0.793,16.1,0.262,2003
6,2nd,F,Dirk Nowitzki,24.0,DAL,360.0,610.0,0.59,5.0,,,80.0,39.0,25.1,9.9,3.0,1.4,1.0,0.463,0.379,0.881,16.1,0.249,2003
7,2nd,G,Jason Kidd,29.0,NJN,355.0,610.0,0.582,16.0,,,80.0,37.4,18.7,6.3,8.9,2.2,0.3,0.414,0.341,0.841,11.3,0.182,2003
8,2nd,G,Allen Iverson,27.0,PHI,350.0,610.0,0.574,8.0,,,82.0,42.5,27.6,4.2,5.5,2.7,0.2,0.414,0.277,0.774,9.2,0.127,2003
9,2nd,F,Chris Webber,29.0,SAC,310.0,610.0,0.508,1.0,,,67.0,39.1,23.0,10.5,5.4,1.6,1.3,0.461,0.238,0.607,6.9,0.127,2003
10,2nd,C,Ben Wallace,28.0,DET,307.0,610.0,0.503,5.0,,,73.0,39.4,6.9,15.4,1.6,1.4,3.2,0.481,0.167,0.45,10.6,0.176,2003
12,3rd,C,Jermaine O'Neal,24.0,IND,165.0,610.0,0.27,2.0,,,77.0,37.2,20.8,10.3,2.0,0.9,2.3,0.484,0.333,0.731,10.5,0.177,2003
13,3rd,G,Stephon Marbury,25.0,PHO,141.0,610.0,0.231,1.0,,,81.0,40.0,22.3,3.2,8.1,1.3,0.2,0.439,0.301,0.803,9.6,0.142,2003
14,3rd,F,Paul Pierce,25.0,BOS,91.0,610.0,0.149,0.0,,,79.0,39.2,25.9,7.3,4.4,1.8,0.8,0.416,0.302,0.802,10.1,0.157,2003
15,3rd,G,Steve Nash,28.0,DAL,85.0,610.0,0.139,0.0,,,82.0,33.1,17.7,2.9,7.3,1.0,0.1,0.465,0.413,0.909,11.6,0.206,2003
16,3rd,F,Jamal Mashburn,30.0,NOH,63.0,610.0,0.103,0.0,,,82.0,40.5,21.6,6.1,5.6,1.0,0.2,0.422,0.389,0.848,9.0,0.13,2003
18,ORV,C,Yao Ming,22.0,HOU,55.0,610.0,0.09,0.0,,,82.0,29.0,13.5,8.2,1.7,0.4,1.8,0.498,0.5,0.811,8.7,0.176,2003
19,ORV,F,Karl Malone,39.0,UTA,33.0,610.0,0.054,0.0,,,81.0,36.2,20.6,7.8,4.7,1.7,0.4,0.462,0.214,0.763,11.1,0.182,2003
20,ORV,F,Shawn Marion,24.0,PHO,28.0,610.0,0.046,0.0,,,81.0,41.6,21.2,9.5,2.4,2.3,1.2,0.452,0.387,0.851,13.0,0.186,2003
21,ORV,C,Zydrunas Ilgauskas,27.0,CLE,25.0,610.0,0.041,0.0,,,81.0,30.0,17.2,7.5,1.6,0.7,1.9,0.441,0.0,0.781,5.0,0.099,2003
22,ORV,C,Vlade Divac,34.0,SAC,23.0,610.0,0.038,0.0,,,80.0,29.8,9.9,7.2,3.4,1.0,1.3,0.466,0.24,0.713,7.0,0.141,2003
23,ORV,G,Steve Francis,25.0,HOU,18.0,610.0,0.03,0.0,,,81.0,41.0,21.0,6.2,6.2,1.7,0.5,0.435,0.354,0.8,11.1,0.16,2003
24,ORV,G,Ray Allen,27.0,TOT,15.0,610.0,0.025,0.0,,,76.0,37.9,22.5,5.0,4.4,1.4,0.2,0.439,0.377,0.916,9.1,0.152,2003
25,ORV,G,Gary Payton,34.0,TOT,14.0,610.0,0.023,0.0,,,80.0,40.1,20.4,4.2,8.3,1.7,0.3,0.454,0.297,0.71,9.1,0.136,2003
26,ORV,F,Rasheed Wallace,28.0,POR,14.0,610.0,0.023,0.0,,,74.0,36.3,18.1,7.4,2.1,0.9,1.0,0.471,0.358,0.735,8.5,0.151,2003
27,ORV,G,Allan Houston,31.0,NYK,10.0,610.0,0.016,0.0,,,82.0,37.9,22.5,2.8,2.7,0.7,0.1,0.445,0.396,0.919,7.2,0.111,2003
28,ORV,C,Pau Gasol,22.0,MEM,8.0,610.0,0.013,0.0,,,82.0,36.0,19.0,8.8,2.8,0.4,1.8,0.51,0.1,0.736,8.5,0.138,2003
29,ORV,F,Brad Miller,26.0,IND,8.0,610.0,0.013,0.0,,,73.0,31.1,13.1,8.3,2.6,0.9,0.6,0.493,0.313,0.818,9.6,0.202,2003
30,ORV,C,David Robinson,37.0,SAS,8.0,610.0,0.013,0.0,,,64.0,26.2,8.5,7.9,1.0,0.8,1.7,0.469,,0.71,6.0,0.172,2003
31,ORV,F,Peja Stojaković,25.0,SAC,8.0,610.0,0.013,0.0,,,72.0,34.0,19.2,5.5,2.0,1.0,0.1,0.481,0.382,0.875,10.1,0.199,2003
32,ORV,G,Michael Jordan,39.0,WAS,7.0,610.0,0.011,0.0,,,82.0,37.0,20.0,6.1,3.8,1.5,0.5,0.445,0.291,0.821,6.2,0.099,2003
33,ORV,F,Elton Brand,23.0,LAC,2.0,610.0,0.003,0.0,0.0,2.0,62.0,39.6,18.5,11.3,2.5,1.1,2.5,0.502,0.0,0.685,7.6,0.149,2003
34,ORV,F,Brian Grant,30.0,MIA,2.0,610.0,0.003,0.0,0.0,2.0,82.0,32.2,10.3,10.2,1.3,0.8,0.6,0.509,,0.771,7.7,0.139,2003
35,ORV,F,Antawn Jamison,26.0,GSW,2.0,610.0,0.003,0.0,0.0,2.0,82.0,39.3,22.2,7.0,1.9,0.9,0.5,0.47,0.311,0.789,8.5,0.126,2003
36,ORV,C,Theo Ratliff,29.0,ATL,2.0,610.0,0.003,0.0,0.0,2.0,81.0,31.1,8.7,7.5,0.9,0.7,3.2,0.464,,0.72,4.0,0.077,2003
37,ORV,F,Amar'e Stoudemire,20.0,PHO,2.0,610.0,0.003,0.0,0.0,2.0,82.0,31.3,13.5,8.8,1.0,0.8,1.1,0.472,0.2,0.661,6.2,0.116,2003
38,ORV,F,Antoine Walker,26.0,BOS,2.0,610.0,0.003,0.0,0.0,2.0,78.0,41.5,20.1,7.2,4.8,1.5,0.4,0.388,0.323,0.615,2.6,0.039,2003
39,ORV,G,Mike Bibby,24.0,SAC,1.0,610.0,0.002,0.0,0.0,1.0,55.0,33.4,15.9,2.7,5.2,1.3,0.1,0.47,0.409,0.861,5.6,0.146,2003
40,ORV,G,Michael Finley,29.0,DAL,1.0,610.0,0.002,0.0,0.0,1.0,69.0,38.3,19.3,5.8,3.0,1.1,0.3,0.425,0.37,0.861,6.7,0.123,2003
41,ORV,C,Jamaal Magloire,24.0,NOH,1.0,610.0,0.002,0.0,0.0,1.0,82.0,29.8,10.3,8.8,1.1,0.6,1.4,0.48,0.0,0.717,6.7,0.133,2003
42,ORV,G,Tony Parker,20.0,SAS,1.0,610.0,0.002,0.0,0.0,1.0,82.0,33.8,15.5,2.6,5.3,0.9,0.0,0.464,0.337,0.755,7.7,0.134,2003
43,ORV,F,Jalen Rose,30.0,CHI,1.0,610.0,0.002,0.0,0.0,1.0,82.0,40.9,22.1,4.3,4.8,0.9,0.3,0.406,0.37,0.854,3.6,0.052,2003
44,ORV,G,John Stockton,40.0,UTA,1.0,610.0,0.002,0.0,0.0,1.0,82.0,27.7,10.8,2.5,7.7,1.7,0.2,0.483,0.363,0.826,9.0,0.19,2003
45,ORV,F,Wally Szczerbiak,25.0,MIN,1.0,610.0,0.002,0.0,0.0,1.0,52.0,35.3,17.6,4.6,2.6,0.8,0.4,0.481,0.421,0.867,5.2,0.135,2003
0,1st,F,Kevin Garnett,27.0,MIN,615.0,615.0,1.0,123.0,0.0,0.0,82.0,39.4,24.2,13.9,5.0,1.5,2.2,0.499,0.256,0.791,18.3,0.272,2004
1,1st,F,Tim Duncan,27.0,SAS,597.0,615.0,0.971,114.0,,,69.0,36.6,22.3,12.4,3.1,0.9,2.7,0.501,0.167,0.599,13.1,0.249,2004
2,1st,G,Kobe Bryant,25.0,LAL,582.0,615.0,0.946,111.0,,,65.0,37.6,24.0,5.5,5.1,1.7,0.4,0.438,0.327,0.852,10.7,0.21,2004
3,1st,C,Shaquille O'Neal,31.0,LAL,556.0,615.0,0.904,95.0,,,67.0,36.8,21.5,11.5,2.9,0.5,2.5,0.584,,0.49,9.9,0.192,2004
4,1st,G,Jason Kidd,30.0,NJN,421.0,615.0,0.685,55.0,,,67.0,36.6,15.5,6.4,9.2,1.8,0.2,0.384,0.321,0.827,7.2,0.141,2004
6,2nd,C,Jermaine O'Neal,25.0,IND,423.0,615.0,0.688,31.0,,,78.0,35.7,20.1,10.0,2.1,0.8,2.6,0.434,0.111,0.757,9.0,0.155,2004
7,2nd,F,Peja Stojaković,26.0,SAC,378.0,615.0,0.615,14.0,,,81.0,40.3,24.2,6.3,2.1,1.3,0.2,0.48,0.433,0.927,13.5,0.198,2004
8,2nd,G,Sam Cassell,34.0,MIN,322.0,615.0,0.524,34.0,,,81.0,35.0,19.8,3.3,7.3,1.3,0.2,0.488,0.398,0.873,12.1,0.205,2004
9,2nd,G,Tracy McGrady,24.0,ORL,274.0,615.0,0.446,16.0,,,67.0,39.9,28.0,6.0,5.5,1.4,0.6,0.417,0.339,0.796,8.4,0.151,2004
10,2nd,C,Ben Wallace,29.0,DET,195.0,615.0,0.317,2.0,,,81.0,37.7,9.5,12.4,1.7,1.8,3.0,0.421,0.125,0.49,10.2,0.16,2004
12,3rd,C,Yao Ming,23.0,HOU,189.0,615.0,0.307,0.0,,,82.0,32.8,17.5,9.0,1.5,0.3,1.9,0.522,0.0,0.809,11.4,0.202,2004
13,3rd,G,Baron Davis,24.0,NOH,176.0,615.0,0.286,10.0,,,67.0,40.1,22.9,4.3,7.5,2.4,0.4,0.395,0.321,0.673,7.5,0.133,2004
14,3rd,F,Dirk Nowitzki,25.0,DAL,145.0,615.0,0.236,0.0,,,77.0,37.9,21.8,8.7,2.7,1.2,1.4,0.462,0.341,0.877,11.5,0.19,2004
15,3rd,G,Michael Redd,24.0,MIL,95.0,615.0,0.154,4.0,,,82.0,36.8,21.7,5.0,2.3,1.0,0.1,0.44,0.35,0.868,9.7,0.154,2004
16,3rd,F,Metta World Peace,24.0,IND,90.0,615.0,0.146,0.0,,,73.0,37.2,18.3,5.3,3.7,2.1,0.7,0.421,0.31,0.733,8.0,0.141,2004
18,ORV,G,Steve Nash,29.0,DAL,75.0,615.0,0.122,3.0,,,78.0,33.5,14.5,3.0,8.8,0.9,0.1,0.47,0.405,0.916,8.8,0.162,2004
19,ORV,F,Paul Pierce,26.0,BOS,68.0,615.0,0.111,0.0,,,80.0,38.7,23.0,6.5,5.1,1.6,0.7,0.402,0.299,0.819,7.1,0.109,2004
20,ORV,F,LeBron James,19.0,CLE,48.0,615.0,0.078,1.0,,,79.0,39.5,20.9,5.5,5.9,1.6,0.7,0.417,0.29,0.754,5.1,0.078,2004
21,ORV,F,Andrei Kirilenko,22.0,UTA,48.0,615.0,0.078,0.0,,,78.0,37.1,16.5,8.1,3.1,1.9,2.8,0.443,0.338,0.79,11.6,0.192,2004
22,ORV,G,Stephon Marbury,26.0,TOT,44.0,615.0,0.072,0.0,,,81.0,40.2,20.2,3.2,8.9,1.6,0.1,0.431,0.318,0.817,9.1,0.134,2004
23,ORV,F,Lamar Odom,24.0,MIA,20.0,615.0,0.033,0.0,,,80.0,37.5,17.1,9.7,4.1,1.1,0.9,0.43,0.298,0.742,8.4,0.134,2004
24,ORV,G,Mike Bibby,25.0,SAC,18.0,615.0,0.029,1.0,,,82.0,36.3,18.4,3.4,5.4,1.4,0.2,0.45,0.392,0.815,9.3,0.151,2004
25,ORV,F,Zach Randolph,22.0,POR,18.0,615.0,0.029,0.0,,,81.0,37.9,20.1,10.5,2.0,0.8,0.5,0.485,0.2,0.761,7.1,0.111,2004
26,ORV,F,Vince Carter,27.0,TOR,16.0,615.0,0.026,0.0,,,73.0,38.2,22.5,4.8,4.8,1.2,0.9,0.417,0.383,0.806,6.0,0.103,2004
27,ORV,F,Carmelo Anthony,19.0,DEN,14.0,615.0,0.023,0.0,,,82.0,36.5,21.0,6.1,2.8,1.2,0.5,0.426,0.322,0.777,6.1,0.098,2004
28,ORV,G,Chauncey Billups,27.0,DET,12.0,615.0,0.02,0.0,,,78.0,35.4,16.9,3.5,5.7,1.1,0.1,0.394,0.388,0.878,11.3,0.198,2004
29,ORV,C,Brad Miller,27.0,SAC,12.0,615.0,0.02,0.0,,,72.0,36.4,14.1,10.3,4.3,0.9,1.2,0.51,0.316,0.778,10.0,0.184,2004
30,ORV,C,Jamaal Magloire,25.0,NOH,9.0,615.0,0.015,0.0,,,82.0,33.9,13.6,10.3,1.0,0.5,1.2,0.473,0.0,0.751,7.6,0.131,2004
31,ORV,C,Pau Gasol,23.0,MEM,8.0,615.0,0.013,0.0,,,78.0,31.5,17.7,7.7,2.5,0.6,1.7,0.482,0.267,0.714,8.1,0.159,2004
32,ORV,G,Allen Iverson,28.0,PHI,8.0,615.0,0.013,0.0,,,48.0,42.5,26.4,3.7,6.8,2.4,0.1,0.387,0.286,0.745,2.8,0.066,2004
33,ORV,G,Ray Allen,28.0,SEA,6.0,615.0,0.01,0.0,,,56.0,38.4,23.0,5.1,4.8,1.3,0.2,0.44,0.392,0.904,6.9,0.153,2004
34,ORV,F,Elton Brand,24.0,LAC,5.0,615.0,0.008,0.0,,,69.0,38.7,20.0,10.3,3.3,0.9,2.2,0.493,0.0,0.773,9.7,0.174,2004
35,ORV,C,Erick Dampier,28.0,GSW,4.0,615.0,0.007,0.0,,,74.0,32.5,12.3,12.0,0.8,0.4,1.9,0.535,0.0,0.654,8.9,0.178,2004
36,ORV,G,Michael Finley,30.0,DAL,4.0,615.0,0.007,0.0,,,72.0,38.6,18.6,4.5,2.9,1.2,0.5,0.443,0.405,0.85,7.6,0.131,2004
37,ORV,G,Manu Ginóbili,26.0,SAS,4.0,615.0,0.007,0.0,,,77.0,29.4,12.8,4.5,3.8,1.8,0.2,0.418,0.359,0.802,9.1,0.194,2004
38,ORV,C,Zydrunas Ilgauskas,28.0,CLE,4.0,615.0,0.007,0.0,,,81.0,31.3,15.3,8.1,1.3,0.5,2.5,0.483,0.286,0.746,7.8,0.147,2004
39,ORV,F,Amar'e Stoudemire,21.0,PHO,4.0,615.0,0.007,0.0,,,55.0,36.8,20.6,9.0,1.4,1.2,1.6,0.475,0.2,0.713,4.4,0.105,2004
